Aircraft Name,Origin,Type
Dassault Rafale,France,Multirole
EH,28[1],
HAL Tejas,India,Multirole
Conversion trainer,Mk.1 Trainer,2[4][5]
Multirole,Mk.1A,
Sukhoi Su-30MKI,Russia,Multirole
Mikoyan MiG-29,Soviet Union,Multirole
Fulcrum B,7[1],
Dassault Mirage 2000,France,Multirole
-2000TH,10[1],Used for training.
SEPECAT Jaguar,United Kingdom,Attack
IS,79[1],
IM,8[1],Maritime strike aircraft carrying Sea Eagle missile.
Mikoyan-Gurevich MiG-21,Soviet Union,Interceptor
Embraer R-99,Brazil,AEW&C
Beriev A-50,Soviet Union,AEW&C
Boeing 707,United States,SIGINT / ELINT
Global 5000,United States,SIGINT / ELINT
Gulfstream III,United States,ELINT
Gulfstream G100,Israel,surveillance
Ilyushin Il-78,Soviet Union,aerial refuelling
Boeing 777,United States,VIP transport
Boeing 737,United States,VIP transport
Embraer Legacy 600,Brazil,VIP transport
Boeing C-17,United States,strategic airlifter
Ilyushin Il-76,Soviet Union,strategic airlifter
C-130J Super Hercules,United States,tactical airlifter
Airbus A321,Europe,transport
Antonov An-32,Soviet Union,tactical airlifter
EADS CASA C-295,Spain,tactical airlifter
Hawker Siddeley HS 748,United Kingdom,tactical airlifter
Dornier Do 228,Germany,tactical airlifter
Boeing AH-64,United States,attack
Mil Mi-24,Russia,attack
HAL Prachand,India,attack
HAL Rudra,India,attack
CH-47 Chinook,United States,transport
Mil Mi-17,Russia,utility
HAL Dhruv,India,utility
HAL LUH,India,utility
Alouette III,France/India,liaison
SA 315B Lama,France/India,utility
BAE Hawk,United Kingdom,Advanced trainer
HAL Kiran,India,Intermediate trainer
HAL HTT-40,India,Basic trainer
Pilatus PC-7,Switzerland,Basic trainer
Pipistrel Virus,Slovenia,Ab initio trainer
IAI Heron,Israel,surveillance
IAI Heron Mk 2,Israel,surveillance
IAI Searcher,Israel,surveillance
ALS-50,India,loitering munition
Kadet Loitering Aerial Munition,India,loitering munition
